[2019-10-28T09:46:49,645][INFO ][o.e.x.m.MlDailyMaintenanceService] [ct7pFEH] triggering scheduled [ML] maintenance tasks
[2019-10-28T09:46:50,560][INFO ][o.e.x.m.a.TransportDeleteExpiredDataAction] [ct7pFEH] Deleting expired data
[2019-10-28T09:46:51,295][INFO ][o.e.x.m.a.TransportDeleteExpiredDataAction] [ct7pFEH] Completed deletion of expired data
[2019-10-28T09:46:51,305][INFO ][o.e.x.m.MlDailyMaintenanceService] [ct7pFEH] Successfully completed [ML] maintenance tasks
[2019-10-28T11:36:17,245][INFO ][o.e.b.Bootstrap          ] [ct7pFEH] running graceful exit on windows
[2019-10-28T11:36:17,247][INFO ][o.e.n.Node               ] [ct7pFEH] stopping ...
[2019-10-28T11:36:17,260][INFO ][o.e.x.w.WatcherService   ] [ct7pFEH] stopping watch service, reason [shutdown initiated]
[2019-10-28T11:36:17,578][INFO ][o.e.x.m.j.p.l.CppLogMessageHandler] [ct7pFEH] [controller/38344] [Main.cc@148] Ml controller exiting
[2019-10-28T11:36:17,588][INFO ][o.e.x.m.j.p.NativeController] [ct7pFEH] Native controller process has stopped - no new native processes can be started
[2019-10-28T11:36:17,638][INFO ][o.e.n.Node               ] [ct7pFEH] stopped
[2019-10-28T11:36:17,640][INFO ][o.e.n.Node               ] [ct7pFEH] closing ...
[2019-10-28T11:36:17,655][INFO ][o.e.n.Node               ] [ct7pFEH] closed
